年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,13.32,1.75,12.49,9.22,1.4
2019,9.49,1.2,8.95,6.46,0.9
2018,7.75,0.98,9.09,5.71,0.8
2017,4.68,0.93,8.69,4.13,0.4
2016,1.49,0.36,3.53,1.55,0.0
2015,0.75,0.36,3.66,1.6,0.0
2014,0.005,0.21,2.1,0.9,0.0
2013,-0.37,-0.35,-3.55,-1.46,0.0
2012,0.97,-0.59,-5.53,-2.38,0.0
2011,2.59,0.61,5.21,2.35,0.2
2010,2.75,0.75,6.41,2.94,0.35
2009,2.29,0.76,6.62,2.91,0.2
2008,-0.67,-0.28,-1.21,-0.5,0.0
2007,0.24,0.17,0.18,0.07,0.0
2006,-0.63,-0.17,-7.54,-2.86,0.0
2005,-1.4,-0.17,-1.4,-0.51,0.0
2004,-0.86,0.11,1.7,0.62,0.0
2003,0.65,0.22,2.01,0.77,0.0
2002,-1.13,-0.4,-3.63,-1.5,0.0
2001,0.02,-0.36,-3.67,-1.56,0.0
