年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,42.13,6.18,18.89,8.59,4.5
2019,36.41,5.46,22.96,10.59,4.0
2018,29.8,3.55,14.0,6.71,3.0
2017,28.31,5.35,21.78,11.78,3.0
2016,22.23,4.71,21.87,12.38,3.0
2015,15.03,2.57,13.68,7.58,2.0
2014,13.21,3.21,15.8,8.73,1.0
2013,8.33,1.95,9.39,4.72,0.8
2012,5.51,1.39,6.87,3.39,0.8
2011,4.61,0.59,3.22,1.74,0.3
2010,5.57,1.49,9.83,5.68,1.0
2009,4.45,1.17,9.96,5.75,1.0
2008,3.35,0.91,8.34,4.86,0.7
2007,3.58,1.28,11.1,7.09,1.0
2006,2.02,0.68,6.61,4.35,0.6
2005,0.44,0.17,2.24,1.26,0.0
2004,0.035,-0.38,-3.47,-1.81,0.0
2003,0.92,0.01,0.05,0.03,0.0
2002,0.98,-0.54,-5.02,-2.79,0.0
2001,3.44,0.53,4.64,2.43,0.5
2000,3.48,0.45,3.87,1.95,0.55
1997,4.15,0.79,6.05,2.76,0.9
1996,3.64,0.74,5.65,2.74,0.55
1995,3.22,0.96,7.16,3.89,0.5
1994,2.47,0.69,4.7,2.66,0.0
