年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,8.2,0.47,3.75,1.9,0.0
2019,6.06,0.1,1.03,0.51,0.0
2018,5.51,0.1,1.01,0.5,0.0
2017,4.21,0.27,2.39,1.22,0.0
2016,3.16,0.21,1.9,1.01,0.0
2015,2.2,0.09,0.97,0.48,0.0
2014,1.89,-0.73,-6.47,-2.97,0.0
2013,5.59,-0.11,-0.98,-0.46,0.0
2012,0.78,0.01,0.15,0.07,0.0
2011,0.42,0.02,0.34,0.18,0.0
2010,0.77,0.4,4.3,2.33,0.0
2009,-0.48,0.36,3.35,1.76,0.0
2008,-2.45,0.25,2.04,0.98,0.0
2007,-3.57,-0.63,-6.48,-2.87,0.0
2006,-0.67,-0.69,-6.12,-2.67,0.0
2005,2.3,0.43,3.59,1.56,0.0
2003,1.65,0.46,4.57,2.16,0.0
2001,-2.29,-0.57,-6.17,-2.96,0.0
1998,3.01,0.64,5.66,3.08,0.0
1997,4.31,0.72,5.8,3.19,0.0
