年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,118.1,1.39,3.29,2.04,0.8
2019,120.5,3.36,8.32,4.99,1.8
2018,110.9,3.26,8.94,5.16,1.7
2017,103.7,3.96,11.55,6.46,2.05
2016,92.75,4.08,12.62,6.82,2.12
2015,77.26,2.87,9.33,4.89,1.4
2014,65.57,1.54,5.32,2.89,0.74
2013,63.43,2.28,8.17,4.67,1.1
2012,53.03,1.27,4.7,2.62,0.35
2011,51.66,2.14,8.61,4.67,0.3
2010,45.55,2.51,10.54,5.53,0.4
2009,40.44,3.48,15.01,7.33,1.45
2008,27.5,1.23,4.29,2.02,0.3
2007,25.91,2.41,9.06,4.2,0.55
2006,19.42,1.58,4.81,2.31,0.5
2005,19.56,2.8,12.65,6.63,1.5
2004,17.0,3.09,18.0,9.96,1.99
2003,13.17,2.98,19.6,9.92,1.79
2002,5.98,1.61,12.87,5.26,0.95
2001,5.14,0.7,6.46,2.49,0.25
2000,2.7,-0.25,-2.34,-0.94,0.0
