季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,1.01,1.07,8.09,5.82
2020Q4,1.45,0.62,4.61,3.58
2020Q3,1.22,0.77,6.07,4.74
2020Q2,0.92,0.49,4.06,3.15
2020Q1,0.73,0.52,4.35,3.45
2019Q4,0.84,0.23,1.91,1.55
2019Q3,0.75,0.22,1.82,1.48
2019Q2,0.67,0.04,0.37,0.3
2019Q1,0.85,0.37,3.05,2.52
2018Q4,0.7,0.1,0.84,0.7
2018Q3,0.67,0.2,1.75,1.47
2018Q2,0.59,-0.03,-0.24,-0.21
2018Q1,0.72,0.24,2.08,1.73
2017Q4,0.62,0.09,0.8,0.64
2017Q3,0.59,0.04,0.32,0.26
2017Q2,0.58,-0.18,-1.53,-1.27
2017Q1,0.65,0.23,1.99,1.66
2016Q4,0.56,-0.14,-1.19,-1.0
2016Q3,0.62,0.0,0.04,0.03
2016Q2,0.62,0.02,0.13,0.11
2016Q1,1.0,0.44,3.57,3.0
2015Q4,0.83,0.3,2.54,2.13
2015Q3,0.71,0.26,2.2,1.76
2015Q2,0.61,0.05,0.4,0.32
2015Q1,1.08,0.44,3.52,2.92
2014Q4,0.91,0.37,3.06,2.55
2014Q3,0.78,0.49,4.19,3.38
2014Q2,0.59,0.2,1.67,1.36
