季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,47.1,0.83,2.3,1.5
2020Q4,45.37,1.0,2.83,1.85
2020Q3,43.56,1.5,4.45,2.78
2020Q2,40.43,0.8,2.33,1.45
2020Q1,41.27,0.4,1.14,0.74
2019Q4,40.43,0.77,2.15,1.38
2019Q3,39.42,0.94,2.67,1.67
2019Q2,37.46,1.34,3.82,2.45
2019Q1,38.83,-0.03,-0.13,-0.08
2018Q4,38.91,0.86,2.49,1.5
2018Q3,36.66,1.14,3.39,1.98
2018Q2,34.28,0.76,2.24,1.35
2018Q1,37.94,0.46,1.34,0.83
2017Q4,36.9,0.78,2.33,1.41
2017Q3,35.09,1.36,4.19,2.41
2017Q2,32.29,0.94,2.91,1.66
2017Q1,34.47,0.48,1.45,0.84
2016Q4,33.48,0.92,2.7,1.55
2016Q3,32.18,0.67,1.94,1.09
2016Q2,30.8,0.65,1.86,1.01
2016Q1,33.53,0.6,1.62,0.91
2015Q4,32.32,0.64,1.8,1.04
2015Q3,31.21,1.46,4.59,2.51
2015Q2,28.2,0.81,2.32,1.24
2015Q1,32.63,0.67,1.89,1.05
2014Q4,31.27,0.9,2.79,1.52
2014Q3,29.45,1.42,4.49,2.35
2014Q2,26.55,1.14,3.64,1.94
