季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,7.17,0.43,2.57,0.67
2020Q4,6.67,1.09,6.84,1.71
2020Q3,5.39,0.03,0.2,0.05
2020Q2,5.35,-0.18,-1.15,-0.31
2020Q1,6.99,0.27,1.61,0.45
2019Q4,6.68,1.24,7.86,2.29
2019Q3,5.21,0.03,0.19,0.07
2019Q2,5.18,0.04,0.24,0.1
2019Q1,6.9,0.04,0.24,0.11
2018Q4,6.86,0.25,1.49,0.69
2018Q3,6.57,2.06,13.48,6.06
2018Q2,4.14,0.44,2.95,1.42
2018Q1,5.39,0.78,5.24,2.97
2017Q4,4.48,0.74,5.29,2.89
2017Q3,3.6,2.7,21.96,10.24
2017Q2,0.41,0.66,6.29,2.34
2017Q1,-0.38,3.13,35.88,8.97
2016Q4,-4.07,0.07,1.02,0.19
2016Q3,-4.15,0.0,0.0,0.0
2016Q2,-4.15,-0.01,-0.12,-0.02
2016Q1,-4.14,-0.09,-1.2,-0.24
2015Q4,-4.04,0.78,11.5,2.14
2015Q3,-4.96,0.35,5.55,0.98
2015Q2,-5.37,0.48,8.29,1.56
2015Q1,-5.94,-0.06,-1.07,-0.21
2014Q4,-5.87,0.82,16.65,2.61
2014Q3,-6.68,-0.16,-4.9,-0.54
2014Q2,-10.53,0.13,5.78,0.64
