年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,3.66,0.1,0.68,0.32,0.3
2019,4.12,0.27,1.78,0.81,0.5
2018,4.54,0.92,5.95,2.6,0.65
2017,4.39,1.86,12.29,5.42,0.8
2016,3.74,1.78,12.3,6.14,1.2
2015,3.21,1.34,9.49,5.03,1.0
2014,2.36,1.18,8.29,4.0,0.5
2013,1.69,0.93,6.87,3.04,0.5
2012,1.29,1.22,9.9,3.85,0.5
2011,-0.19,0.18,1.69,0.58,0.0
2010,-0.76,-0.82,-6.81,-2.51,0.0
2009,-1.64,-2.73,-19.52,-7.51,0.0
2008,0.62,0.03,0.1,0.04,0.0
2007,0.76,0.33,1.48,0.58,0.2
2006,0.55,-0.6,-5.12,-2.19,0.0
2005,0.93,0.42,2.35,1.09,0.0
2004,1.08,1.4,9.5,5.32,0.2
2003,1.08,1.81,10.14,6.33,0.2
