年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,83.5,31.97,52.73,47.24,8.0
2019,41.97,3.65,8.66,7.05,3.65
2018,37.63,1.2,3.05,2.37,1.2
2017,37.06,0.9,2.3,1.76,1.1
2016,37.48,1.59,4.27,3.27,1.1
2015,36.94,1.34,3.48,2.69,1.1
2014,36.3,1.16,3.07,2.41,1.1
2013,36.16,0.82,2.31,1.81,1.0
2012,36.63,0.83,2.52,1.92,1.0
2011,13.63,2.95,10.07,7.43,1.7
2010,9.57,0.99,3.38,2.49,1.0
2009,9.67,0.53,2.06,1.46,1.0
2008,10.74,1.53,5.51,4.04,1.0
2007,11.13,1.59,6.0,4.59,1.2
2006,9.93,1.25,6.04,4.22,1.0
2005,9.49,1.19,7.53,4.9,1.0
2004,8.68,0.88,6.32,4.04,0.8
2003,7.59,0.65,4.81,2.89,0.5
2002,7.28,0.59,4.29,2.52,0.5
2001,8.29,0.78,5.82,3.4,1.0
2000,7.61,0.44,3.22,1.95,0.5
1999,9.0,1.28,9.15,5.97,1.0
1998,8.7,0.75,5.36,3.67,1.0
1997,9.48,1.34,9.93,7.06,1.0
1996,8.66,1.2,8.93,6.12,0.0
1995,9.0,1.02,6.77,4.58,0.0
1994,8.84,2.99,20.53,14.18,0.0
