季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,11.57,0.9,2.22,1.21
2020Q4,11.14,0.72,1.82,1.0
2020Q3,10.99,1.15,3.0,1.69
2020Q2,10.43,1.85,3.95,2.32
2020Q1,12.1,1.7,4.31,2.63
2019Q4,11.28,1.1,2.41,1.46
2019Q3,10.84,2.34,5.38,2.95
2019Q2,9.9,3.63,8.57,4.37
2019Q1,10.25,1.98,4.77,2.52
2018Q4,9.45,1.89,4.76,2.51
2018Q3,8.73,1.93,5.09,2.6
2018Q2,7.96,2.57,7.03,3.56
2018Q1,7.85,0.87,2.41,1.23
2017Q4,7.5,0.88,2.49,1.26
2017Q3,7.21,1.38,4.03,1.97
2017Q2,6.65,1.07,2.96,1.54
2017Q1,8.64,0.44,1.15,0.64
2016Q4,8.46,2.09,5.61,3.02
2016Q3,7.73,1.66,4.68,2.54
2016Q2,7.06,3.12,8.82,5.11
2016Q1,7.62,1.88,5.35,3.24
2015Q4,6.86,2.11,6.34,3.78
2015Q3,6.11,2.61,8.42,4.69
2015Q2,5.06,0.93,2.95,1.65
2015Q1,5.48,1.65,5.02,2.94
2014Q4,4.82,1.7,5.43,3.14
2014Q3,4.22,2.45,8.5,4.9
2014Q2,3.23,2.05,7.15,4.57
