年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-1.47,-0.17,-2.47,-2.06,0.0
2019,-1.26,0.16,2.31,1.94,0.0
2018,-1.46,-0.1,-1.35,-1.14,0.0
2017,-3.04,0.01,0.08,0.07,0.0
2016,-3.04,-0.05,-0.65,-0.55,0.0
2015,-2.98,-0.03,-0.38,-0.32,0.0
2014,-2.95,-0.01,-0.17,-0.15,0.0
2013,-2.93,-0.09,-1.18,-1.0,0.0
2012,-2.82,0.01,0.11,0.09,0.0
2011,-4.61,-0.03,-0.4,-0.34,0.0
2010,-4.58,2.63,41.47,27.89,0.0
2009,-7.87,-0.33,-6.33,-3.13,0.0
2008,-6.64,-0.04,-0.11,-0.06,0.0
2007,-6.6,0.21,1.67,0.82,0.0
2006,-6.79,-5.3,-73.31,-40.04,0.0
2005,-0.87,0.09,0.14,0.08,0.0
2004,-0.97,-0.9,-9.22,-4.57,0.0
2003,0.22,0.2,2.06,0.98,0.0
2002,-0.91,-0.85,-7.8,-3.88,0.0
2001,-0.99,-0.4,-4.17,-2.45,0.0
2000,-0.53,-0.66,-6.45,-4.19,0.0
1997,1.75,1.07,9.38,6.56,0.0
1996,0.41,0.11,1.01,0.71,0.0
1995,0.28,0.06,0.56,0.4,0.0
1994,1.49,1.26,10.84,7.55,0.0
