季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,6.16,1.4,6.85,3.99
2020Q4,5.02,0.9,4.65,2.8
2020Q3,4.29,0.68,3.65,2.27
2020Q2,3.74,0.57,3.3,2.11
2020Q1,3.68,0.29,1.56,1.01
2019Q4,3.44,0.1,0.18,0.11
2019Q3,3.36,0.22,1.14,0.7
2019Q2,3.18,0.12,0.48,0.31
2019Q1,3.89,0.23,1.12,0.73
2018Q4,3.71,0.46,2.33,1.42
2018Q3,3.33,0.67,3.73,2.24
2018Q2,2.79,0.74,4.4,2.82
2018Q1,2.56,0.18,1.05,0.72
2017Q4,1.98,0.34,2.04,1.43
2017Q3,1.7,0.29,1.79,1.32
2017Q2,1.46,0.12,0.75,0.59
2017Q1,1.94,-0.27,-1.69,-1.29
2016Q4,2.16,0.04,0.24,0.17
2016Q3,2.14,0.09,0.54,0.4
2016Q2,2.06,0.65,4.02,3.16
2016Q1,2.35,0.09,0.55,0.45
2015Q4,2.27,-0.07,-0.71,-0.59
2015Q3,2.39,0.33,2.43,1.51
2015Q2,2.07,0.13,1.29,0.86
2015Q1,2.56,0.27,2.1,1.78
2014Q4,2.07,0.43,3.43,2.89
2014Q3,1.2,0.29,2.33,1.92
2014Q2,0.69,0.1,0.8,0.67
