年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,3.12,-0.38,-3.73,-2.4,0.0
2019,6.32,0.06,-0.55,-0.34,0.0
2018,9.91,0.44,3.08,1.96,0.4
2017,10.58,-0.01,-0.41,-0.25,0.5
2016,10.82,0.07,0.59,0.37,0.0
2015,15.38,0.43,3.35,2.39,0.5
2014,16.43,0.23,1.9,1.48,0.5
2013,16.16,0.71,5.79,4.57,0.0
2012,15.54,1.06,8.0,5.87,0.6
2011,12.88,0.88,6.87,4.64,0.5
2010,19.29,2.11,17.95,12.14,0.5
2009,9.35,0.92,8.95,5.61,0.8
2008,2.48,-0.38,-4.67,-2.67,0.0
2007,-9.53,0.6,5.53,2.89,0.0
2006,-13.54,-0.01,3.02,1.5,0.0
2005,-13.2,-1.33,-10.28,-5.18,0.0
