季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,54.28,0.31,1.91,0.48
2020Q4,51.92,0.32,1.96,0.54
2020Q3,49.83,0.28,2.06,0.55
2020Q2,47.69,0.2,1.49,0.41
2020Q1,61.42,0.21,1.44,0.41
2019Q4,59.85,0.85,4.06,1.13
2019Q3,53.48,0.05,0.73,0.21
2019Q2,53.1,0.36,1.99,0.58
2019Q1,67.6,0.29,1.65,0.47
2018Q4,65.4,0.68,2.91,0.84
2018Q3,61.3,0.76,3.68,1.13
2018Q2,55.52,0.54,2.67,0.84
2018Q1,76.11,0.42,2.05,0.64
2017Q4,71.06,0.84,3.62,1.14
2017Q3,65.25,0.67,3.27,1.05
2017Q2,60.17,1.59,6.67,2.13
2017Q1,67.89,0.58,2.78,0.88
2016Q4,63.44,0.65,2.93,0.93
2016Q3,60.0,0.92,4.51,1.43
2016Q2,52.98,0.74,3.51,1.13
2016Q1,65.66,0.62,4.25,1.42
2015Q4,60.98,0.79,3.68,1.22
2015Q3,56.17,0.59,3.3,1.1
2015Q2,51.65,0.75,3.6,1.23
2015Q1,62.97,0.56,2.7,0.95
2014Q4,58.75,0.95,4.26,1.44
2014Q3,51.47,0.69,3.63,1.19
2014Q2,46.07,0.58,2.88,0.97
