年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,376.1,2.5,4.81,3.23,2.3
2019,373.3,2.11,4.07,2.71,2.2
2018,374.3,2.33,4.57,3.01,2.2
2017,370.9,1.65,3.26,2.14,2.1
2016,375.6,-0.07,-0.14,-0.09,2.1
2015,401.8,2.48,4.61,3.21,2.1
2014,399.3,3.13,5.95,4.48,2.2
2013,388.2,2.59,5.0,3.82,2.0
2012,389.2,4.32,8.24,6.38,2.7
2011,77.23,3.07,5.93,4.65,2.3
2010,68.68,1.76,3.45,2.75,2.2
2009,65.16,1.29,2.55,2.02,1.4
2008,70.13,2.24,4.32,3.43,1.8
2007,83.29,3.91,7.37,5.93,3.4
2006,76.55,3.88,7.44,6.11,3.0
2005,62.87,3.14,7.48,5.5,2.2
2004,51.01,2.11,6.43,3.97,1.7
2003,41.07,0.95,2.89,1.79,1.0
2002,42.35,1.09,3.34,2.07,1.0
2001,12.62,0.87,2.83,1.73,0.3
2000,-7.39,-1.18,-3.85,-2.33,0.0
