季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,-5.3,0.04,0.32,0.09
2020Q4,-5.36,0.38,3.16,0.95
2020Q3,-5.93,0.95,8.17,2.41
2020Q2,-7.36,1.21,11.28,3.51
2020Q1,-9.18,-0.52,-4.98,-1.62
2019Q4,-8.4,0.09,0.86,0.28
2019Q3,-8.54,0.07,0.62,0.2
2019Q2,-8.64,-0.17,-1.59,-0.56
2019Q1,-8.38,-0.75,-6.63,-2.52
2018Q4,-7.25,-0.51,-4.09,-1.59
2018Q3,-6.52,0.09,0.74,0.3
2018Q2,-6.65,-0.16,-1.28,-0.58
2018Q1,-6.41,-0.26,-1.96,-0.89
2017Q4,-6.07,0.02,0.17,0.07
2017Q3,-6.1,0.2,1.69,0.72
2017Q2,-6.36,0.2,1.71,0.82
2017Q1,-6.63,-0.17,-1.39,-0.7
2016Q4,-6.41,0.12,0.98,0.48
2016Q3,-6.56,0.35,2.92,1.46
2016Q2,-7.02,0.02,0.18,0.09
2016Q1,-7.05,0.11,0.88,0.42
2015Q4,-7.19,0.52,4.31,1.63
2015Q3,-7.85,0.61,5.35,1.96
2015Q2,-8.64,-0.19,-1.75,-0.78
2015Q1,-8.39,-0.63,-5.42,-2.5
2014Q4,-7.58,-1.03,-8.41,-3.54
2014Q3,-6.23,0.18,1.42,0.62
2014Q2,-6.46,-2.76,-20.02,-10.43
