年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-3.98,0.24,2.11,1.57,0.0
2019,-3.23,-1.28,58.62,20.64,0.0
2018,-3.03,-4.02,-92.84,-39.75,0.0
2017,-2.47,-12.31,-56.75,-27.51,0.0
2016,-4.13,-1.94,-47.35,-23.3,0.0
2015,-3.11,1.78,-18.73,-7.7,0.0
2014,-4.05,-0.79,-28.29,-11.69,0.0
2013,-3.64,-1.48,-64.84,-21.35,0.0
2012,-2.86,-1.59,-48.95,-12.78,0.0
2011,-2.18,-3.34,-61.02,-13.46,0.0
2010,-3.08,-2.11,-44.67,-7.68,0.0
2009,-2.05,-2.87,-45.44,-9.27,0.0
2008,-8.01,-4.96,-46.2,-12.99,0.0
2007,-5.86,-3.07,-17.99,-5.95,0.0
2006,-8.3,-3.57,-30.93,-12.8,0.0
2005,-6.75,-3.57,-24.82,-12.22,0.0
