年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,66.51,1.47,4.99,1.8,1.03
2019,65.7,1.32,4.05,1.64,0.92
2018,71.6,4.76,14.65,6.16,2.7
2017,58.78,1.58,6.07,2.76,1.5
2016,63.14,2.6,9.06,4.77,1.7
2015,61.39,2.8,9.6,4.92,2.1
2014,57.66,1.36,6.07,3.07,1.5
2013,64.92,8.28,21.59,10.59,3.0
2012,37.89,1.3,6.65,3.15,1.0
2011,32.66,1.2,6.54,2.94,0.4
2010,36.03,2.66,10.89,5.05,1.2
2009,39.27,10.02,34.31,14.87,2.0
2008,12.6,0.71,9.52,3.36,0.2
2007,14.61,2.12,13.65,4.56,0.65
2006,14.98,3.81,2.75,1.02,1.3
2005,10.76,2.69,13.99,5.74,1.33
2004,11.08,4.75,22.44,7.82,1.91
2003,5.69,2.39,13.12,4.25,0.77
2002,4.58,2.32,12.78,4.88,0.92
2001,3.21,1.16,7.1,3.07,0.7
2000,3.38,1.8,10.9,5.2,0.9
