年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,10.82,0.76,6.14,4.39,0.35
2019,9.68,0.06,0.49,0.35,0.2
2018,10.14,0.41,2.75,1.96,0.25
2017,9.63,-0.18,-1.44,-1.03,0.2
2016,10.54,0.06,0.29,0.21,0.2
2015,11.61,0.61,3.98,2.77,0.5
2014,11.47,1.01,6.73,4.59,0.5
2013,10.35,1.52,10.79,7.11,0.5
2012,8.53,1.18,8.64,5.51,0.7
2011,6.75,1.15,8.02,5.13,0.7
2010,5.73,1.43,9.99,6.84,0.7
2009,3.84,0.88,6.24,4.62,0.6
2008,3.43,1.03,7.61,5.77,0.7
2007,2.55,0.66,5.94,4.63,0.6
2006,2.83,0.94,7.47,5.85,0.6
2005,1.04,0.09,-0.85,-0.66,0.15
2004,1.49,0.66,6.14,4.84,0.0
2003,-2.99,0.51,4.88,3.88,0.0
