年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,34.38,-1.22,-9.3,-4.15,0.0
2019,47.78,0.04,-1.45,-0.7,0.3
2018,63.08,2.01,13.09,6.6,1.75
2017,56.22,2.01,14.15,6.75,1.75
2016,38.88,-0.64,-3.82,-1.76,0.2
2015,44.99,-0.14,-1.68,-0.85,0.5
2014,55.48,0.13,0.35,0.22,1.0
2013,65.12,1.45,7.54,5.5,1.2
2012,63.12,1.31,7.01,5.26,1.2
2011,57.87,3.64,18.69,14.66,2.0
2010,48.36,2.64,14.71,12.48,2.4
2009,41.09,1.81,12.77,11.16,1.7
2008,34.79,1.42,7.24,6.18,1.0
2007,43.18,3.01,17.81,15.25,2.2
2006,33.37,1.93,11.84,10.5,1.5
2005,36.44,3.03,20.09,17.68,2.0
2004,38.64,4.1,24.83,21.45,2.5
