年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,138.1,2.22,4.95,3.97,1.8
2019,136.2,2.11,4.77,3.71,1.7
2018,134.2,1.73,3.96,3.04,1.6
2017,133.4,1.35,3.07,2.41,1.5
2016,136.3,2.75,6.27,4.98,2.0
2015,131.6,1.54,3.57,2.85,1.5
2014,130.4,0.98,2.25,1.8,1.2
2013,134.7,0.64,1.64,1.34,2.0
2012,144.9,14.26,46.2,37.0,2.5
2011,21.92,0.73,3.48,2.6,0.6
2010,20.68,0.62,3.43,2.52,0.5
2009,19.78,0.6,3.39,2.5,0.45
2008,18.18,0.39,2.21,1.64,0.3
2007,17.62,0.28,1.61,1.19,0.27
2006,17.23,0.21,1.23,0.89,0.2
2005,17.49,0.18,1.09,0.75,0.25
2004,17.64,0.08,0.49,0.31,0.2
2003,19.44,0.53,3.57,2.17,0.4
2002,18.86,0.63,4.34,2.64,0.4
2001,17.66,0.48,3.35,2.06,0.4
2000,18.36,0.73,5.01,3.09,0.4
1999,17.15,0.62,4.08,2.52,0.5
1998,18.66,0.99,5.72,3.55,0.6
