季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,0.86,0.08,0.68,0.55
2020Q4,1.16,0.21,1.87,1.58
2020Q3,0.94,0.11,1.01,0.85
2020Q2,0.81,-0.1,-1.0,-0.8
2020Q1,0.9,0.2,1.8,1.46
2019Q4,1.41,0.16,1.45,1.21
2019Q3,1.27,0.21,1.85,1.52
2019Q2,1.1,0.26,2.34,1.92
2019Q1,1.31,0.25,2.28,1.89
2018Q4,1.1,0.2,1.87,1.55
2018Q3,0.93,0.19,1.73,1.41
2018Q2,0.77,0.09,0.8,0.66
2018Q1,1.12,0.09,0.85,0.72
2017Q4,1.04,0.18,1.65,1.43
2017Q3,0.89,0.06,0.57,0.49
2017Q2,0.83,0.13,1.2,1.03
2017Q1,1.19,0.11,1.02,0.91
2016Q4,1.09,0.18,1.66,1.48
2016Q3,0.95,0.03,0.3,0.26
2016Q2,0.92,0.14,1.28,1.13
2016Q1,1.31,0.19,1.69,1.51
2015Q4,1.15,0.21,1.93,1.71
2015Q3,0.97,0.2,1.8,1.54
2015Q2,0.81,0.12,1.14,0.96
2015Q1,1.21,0.18,1.59,1.36
2014Q4,1.06,0.24,2.21,1.9
2014Q3,0.85,0.09,0.82,0.71
2014Q2,0.78,0.21,1.98,1.71
