年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,20.82,1.16,7.32,4.81,1.2
2019,17.71,0.44,2.82,1.84,0.5
2018,18.02,0.77,5.1,3.57,0.5
2017,21.12,1.32,8.66,6.34,1.5
2016,22.19,1.96,12.49,8.74,1.51
2015,18.81,1.48,10.43,6.87,1.18
2014,15.09,0.43,3.11,2.01,0.6
2013,15.66,0.69,4.79,3.14,0.6
2012,13.94,0.94,6.82,4.55,0.3
2011,15.07,2.17,15.9,11.21,0.8
2010,10.97,1.55,11.17,8.13,0.5
2009,8.68,1.07,8.46,5.75,0.0
2008,6.89,1.1,8.24,5.27,0.25
2007,5.56,0.83,6.94,4.59,0.0
2006,5.4,0.84,6.4,4.69,0.35
2005,5.34,1.0,7.69,5.81,0.4
2004,4.41,0.34,2.9,2.14,0.0
2003,5.14,0.75,5.51,3.96,0.35
2002,5.0,0.88,6.69,4.63,0.35
2001,4.57,1.11,8.56,5.79,0.26
2000,3.58,0.7,5.54,3.84,0.3
