年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,42.66,0.55,2.7,1.43,0.5
2019,43.56,1.08,5.22,2.9,0.8
2018,41.31,0.76,3.65,2.09,0.5
2017,44.82,2.27,10.43,6.08,1.7
2016,44.61,3.13,14.32,8.49,2.2
2015,39.94,2.85,13.54,7.98,1.7
2014,35.99,2.59,13.12,7.46,1.6
2013,32.25,2.19,11.82,6.62,1.4
2012,30.13,1.98,10.78,6.08,1.4
2011,23.08,1.96,11.56,6.62,1.2
2010,23.21,3.14,19.15,11.4,1.2
2009,19.35,2.98,18.97,11.02,1.5
2008,14.69,2.8,18.14,9.94,0.3
2007,11.47,2.06,13.73,7.69,1.0
2006,10.39,1.75,12.12,6.75,1.5
2005,8.76,1.39,10.1,5.26,1.0
2004,7.18,1.32,10.19,5.05,0.7
2003,6.37,1.34,10.12,5.41,0.0
2002,2.99,1.17,8.58,5.08,0.0
2001,4.02,0.37,2.86,1.45,0.4
2000,4.12,0.55,4.29,1.89,0.4
