年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-1.14,-0.61,-5.2,-2.36,0.1
2019,-0.098,-1.39,-10.97,-5.04,0.1
2018,2.89,0.22,1.62,0.7,0.2
2017,3.27,0.55,4.09,1.81,0.5
2016,2.64,0.56,4.21,2.05,0.5
2015,1.66,-0.24,-1.95,-0.91,0.1
2014,2.35,0.12,0.77,0.35,0.1
2013,3.11,0.73,5.1,2.43,0.6
2012,2.83,0.63,4.18,2.05,0.55
2011,3.57,1.56,10.95,5.19,0.6
2010,2.51,1.22,8.79,4.18,0.77
2009,1.32,0.14,1.35,0.61,0.23
2008,1.31,0.24,1.48,0.68,0.14
2007,3.13,2.17,14.75,7.41,1.06
2006,2.67,2.26,16.28,7.8,1.3
2005,1.42,1.24,8.61,3.66,0.3
2004,0.88,0.57,4.21,1.57,0.3
2003,0.46,0.49,3.62,1.34,0.0
2002,0.11,-0.59,-4.49,-1.85,0.0
2001,0.75,0.01,0.04,0.02,0.24
2000,1.66,1.51,9.74,4.66,1.0
