年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,28.29,23.16,72.03,61.9,12.0
2019,8.79,0.43,1.95,1.83,0.3
2018,8.86,0.7,3.37,3.15,0.5
2017,8.55,0.51,2.22,2.05,0.35
2016,8.8,1.16,5.93,5.44,0.8
2015,8.38,1.0,5.09,4.69,0.7
2014,7.83,0.58,2.96,2.7,0.45
2013,7.94,0.72,3.79,3.42,0.65
2012,7.63,0.74,3.95,3.54,0.45
2011,6.1,1.21,6.57,5.77,0.65
2010,5.89,1.59,8.7,7.57,0.35
2009,5.19,1.97,11.61,10.26,0.5
2008,3.92,1.56,9.34,8.35,0.3
2007,3.11,1.19,7.75,6.84,0.6
2006,2.32,0.36,2.28,1.99,0.3
2005,2.18,0.4,2.87,2.38,0.2
2004,1.82,-0.7,-5.48,-3.93,0.0
2003,2.47,0.31,2.4,1.56,0.0
2002,2.2,0.18,1.42,0.98,0.0
2001,2.05,0.14,1.17,0.83,0.0
2000,2.84,2.38,18.94,13.57,0.0
1999,2.07,2.38,19.45,15.41,0.0
1998,1.31,1.59,13.41,10.42,0.18
1997,1.18,1.28,9.94,7.41,0.0
