年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,7.34,0.83,5.18,2.7,0.4
2019,6.35,0.4,2.04,1.05,0.0
2018,6.27,0.87,5.48,2.68,0.3
2017,5.95,0.84,5.76,2.93,0.6
2016,5.67,0.94,6.6,3.55,0.6
2015,5.12,0.7,5.03,2.62,0.5
2014,4.61,0.44,3.22,1.65,0.3
2013,4.42,0.54,4.13,2.11,0.3
2012,3.86,-0.59,-4.47,-2.43,0.1
2011,3.29,0.5,3.69,2.06,0.3
2010,3.3,0.96,7.39,4.08,0.51
2009,2.26,0.25,0.8,0.45,0.2
2008,2.12,-0.01,-0.04,-0.02,0.0
2007,2.83,0.63,5.08,2.63,0.1
2006,2.7,0.7,5.59,3.08,0.5
2005,2.51,0.85,6.76,3.58,0.46
