年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,39.71,4.41,7.69,6.28,2.2
2019,37.92,3.95,7.05,5.79,2.0
2018,36.35,6.17,11.33,9.27,1.8
2017,33.58,7.36,14.53,11.77,2.4
2016,29.84,7.21,15.26,12.35,2.3
2015,25.94,6.31,13.47,10.92,1.4
2014,22.59,4.62,10.83,8.79,1.4
2013,20.51,4.3,11.23,8.84,1.6
2012,18.6,4.48,12.64,9.88,1.6
2011,13.89,4.44,13.77,10.96,1.7
2010,12.13,4.68,15.41,12.26,1.5
2009,10.07,3.4,12.03,9.67,1.55
2008,8.34,1.72,6.45,4.94,0.5
2007,7.91,1.81,6.99,4.98,0.5
2006,7.45,2.38,8.54,5.93,0.5
2005,7.1,2.8,11.56,7.92,1.0
2004,6.39,3.45,14.65,9.95,0.5
2003,5.42,3.33,14.87,10.39,0.5
2002,4.58,3.0,13.99,10.36,0.5
2001,3.75,1.36,6.68,5.09,1.0
